Apyg. Nr.;Apygardos pavadinimas;Apyl. Nr.;Apylinkės pavadinimas;Apylinkės Adresas;Kiekis
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;214
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;697
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;12
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;2
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;89
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;118
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;26
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;3
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;257
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;21
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;302
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;71
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;416
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;330
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;202
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;2
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;34
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;352
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;11
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;28
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;45
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;54
1;Naujamiesčio;17;Algirdo;Adresas: Kauno g. 3, Vilnius;55
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;81
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;194
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;44
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;202
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;161
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;116
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;162
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;33
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;60
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;3
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;2896
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;50
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;176
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;590
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;0
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;69
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;210
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;197
1;Naujamiesčio;2;Gedimino;Adresas: J. Lelevelio g. 6, Vilnius;63
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;304
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;12
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;131
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;84
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;122
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;188
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;362
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;241
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;40
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;61
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;397
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;94
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;29
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;136
1;Naujamiesčio;13;Mindaugo;Adresas: Mindaugo g. 9, Vilnius;116
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;65
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;101
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;37
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;13
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;4
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;338
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;130
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;25
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;142
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;296
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;52
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;15
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;52
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;1
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;19
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;1
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;19
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;45
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;95
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;142
1;Naujamiesčio;8;Pamėnkalnio;Adresas: J. Jasinskio g. 11, Vilnius;55
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;115
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;30
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;333
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;5
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;10
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;280
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;181
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;181
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;36
